Province,District,DATIM_Site_Name,Support Mechanism,Facility IP,E-HR Status,Site Classification,Recency District,Facility,DATIM Site Name,DATIM Org ID,Facility ID,Province Code,District Code,Ownership,Location,Level,Status
MANICALAND,Mutare,Zvipiripiri - 101828 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mutare,Zvipiripiri Rural Health Centre,Zvipiripiri - 101828 - Clinic,icwINxeOGNY,ZW010513,ZW01,,Government,Rural,Primary,Open
MASHONALAND WEST,Hurungwe,Zvipani - 101827 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Hurungwe,Zvipani Rural Health Centre,Zvipani - 101827 - Clinic,kBWmV90JkOu,ZW040206,ZW04,,Rural Council,Rural,Primary,Open
MASHONALAND WEST,Zvimba,Zvimba - 101826 - Rural Hospital,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Zvimba,Zvimba Rural Hospital,Zvimba - 101826 - Rural Hospital,AePpRuUfCzM,ZW04070G,ZW04,,Rural Council,Peri-Urban,Primary,RURAL
MASVINGO,Gutu,Zvavahera - 101824 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Gutu,Zvavahera Rural Health Centre,Zvavahera - 101824 - Clinic,diROooYxyaE,ZW080409,ZW08,,Government,Rural,Primary,Open
MIDLANDS,Gweru,Connemara - 100347 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Gweru,ZPS Connemara Prison Clinic,Connemara - 100347 - Clinic,a8GphVKSr2H,ZW070413,ZW07,,ZPS,Rural,Primary,
MASVINGO,Chivi,Zivuku - 101812 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Chivi,Zivuku Clinic,Zivuku - 101812 - Clinic,qlF46STsFVq,ZW080324,ZW08,,Rural Council,Rural,Primary,Open
MATEBELELAND NORTH,Nkayi,Zinyangeni - 101810 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Nkayi,Zinyangeni,Zinyangeni - 101810 - Rural Health Centre,uEle7GC3Lqv,ZW050529,ZW05,,,Rural,,
MANICALAND,Mutasa,Zindi - 101807 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mutasa,Zindi Clinic,Zindi - 101807 - Clinic,xRiIyDXPWV5,ZW010635,ZW01,,Rural Council,Rural,,Open
MASVINGO,Masvingo,Zimuto BC-101885-Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Masvingo,Zimuto BC Clinic,Zimuto BC-101885-Clinic,l3E01g797F0,ZW080534,ZW08,,RDC,Rural,Primary,Open
MANICALAND,Mutare,Zimunya - 101805 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mutare,Zimunya Clinic,Zimunya - 101805 - Clinic,s5QteHELIvJ,ZW010539,ZW01,,Rural Council,Rural,Primary,Open
MATEBELELAND SOUTH,Umzingwane,Zimbili - 101911 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Umzingwane,Zimbili Clinic,Zimbili - 101911 - Clinic,cMnfYLDG3wb,ZW060634,ZW06,,Rural Council,Rural,,
MATEBELELAND SOUTH,Insiza,Zhulube - 101793 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Insiza,Zhulube Clinic,Zhulube - 101793 - Clinic,krUJBXgxsij,ZW060426,ZW06,,Rural Council,Rural,,
MIDLANDS,Kwekwe,Zhombe - 101792 - Mission Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Kwekwe,Zhombe Mission Hospital,Zhombe - 101792 - Mission Clinic,RgkNZppVRq4,ZW07050C,ZW07,,Mission,Rural,Secondary,
MASHONALAND EAST,Seke,Zhakata - 101788 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Seke,Zhakata Rural Health Centre,Zhakata - 101788 - Rural Health Centre,chIGBlc6iFM,ZW030902,ZW03,,Government,Rural,clinic,Active
MATEBELELAND SOUTH,Beitbridge,Zezane - 101787 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Beitbridge,Zezani Clinic,Zezane - 101787 - Clinic,T9MjXsATFab,ZW060131,ZW06,,Rural Council,Rural,,
MATEBELELAND NORTH,Nkayi,Zenka - 101785 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Nkayi,Zenka Rural Health Centre,Zenka - 101785 - Rural Health Centre,S8UmuTF3pVu,ZW050506,ZW05,,Government,Rural,Primary,Open
HARARE,Harare,Arcadia - 100015 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Harare,ha Arcadia Clinic,Arcadia - 100015 - Clinic,xF2C4VhTlZh,ZW000A02,ZW00,,Town/City Council,Urban,Primary,
MASVINGO,Masvingo,Zano - 101781 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Masvingo,Zano Clinic,Zano - 101781 - Clinic,RPaFuf61WaI,ZW080536,ZW08,,RDC,Rural,Primary,Open
HARARE,Harare,Avondale - 100030 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Harare,ha Avondale Clinic,Avondale - 100030 - Clinic,XY1ZmfDOMmZ,ZW000A01,ZW00,,Town/City Council,Urban,Primary,
MANICALAND,Makoni,Weya - 101774 - Rural Hospital,PEPFAR,ZHI,ACTIVE,Health facility,Makoni,Weya Rural Hospital,Weya - 101774 - Rural Hospital,nrMK5a1kkjl,ZW01040B,ZW01,,Government,Rural,Primary ,Open
HARARE,Harare,Beatrice Infectious - 100050 - Hospital,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Harare,Beatrice Road Infectious Diseases Hosp,Beatrice Infectious - 100050 - Hospital,mn3hlUZz8Hy,ZW000A0C,ZW00,,Town/City Council,Urban,,
MATEBELELAND SOUTH,Gwanda,West Nicolson - 101772 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Gwanda,West Nicholson Clinic,West Nicolson - 101772 - Clinic,cUPFcuov2Fc,ZW060382,ZW06,,Government,Peri-Urban,,
MASHONALAND EAST,Marondera,Wenimbe - 101771 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Marondera,Wenimbi Rural Health Centre,Wenimbe - 101771 - Rural Health Centre,SNzJDnz5e9q,ZW030506,ZW03,,Rural Council,Rural,clinic,Active
MASHONALAND WEST,Sanyati,Waverly - 101764 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Sanyati,Waverly Municipal Clinic,Waverly - 101764 - Clinic,oiEL7cgDRNN,ZW040639,ZW04,,Town/City Council,Urban,Primary,Open
MASHONALAND WEST,Chegutu,Watyoka - 101763 - Council Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Chegutu,Watyoka Clinic,Watyoka - 101763 - Council Clinic,ZlGUHP6gHLu,ZW040130,ZW04,,Rural Council,Rural,Primary,Open
MASHONALAND EAST,Murehwa,Waterloo - 101762 - Clinic,PEPFAR,ZACH,ACTIVE,Health facility,Murewa,Waterloo Clinic,Waterloo - 101762 - Clinic,WdsXmSQA2PZ,ZW030747,ZW03,,Rural Council,Rural,clinic,Active
MIDLANDS,Mberengwa,Wanezi - 101758 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mberengwa,Wanezi Mission Hospital,Wanezi - 101758 - Clinic,b3PU8AeeaQC,ZW070607,ZW06,,Mission,Rural,,
MIDLANDS,Mberengwa,Vutsanana - 101754 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mberengwa,Vutsanana,Vutsanana - 101754 - Clinic,nyYPQGMntMU,ZW070641,ZW07,,,Rural,,
MIDLANDS,Mberengwa,Vurasha - 101753 - Rural Health Centre,PEPFAR,ZHI,ACTIVE,Health facility,Mberengwa,Vurasha Rural Health Centre,Vurasha - 101753 - Rural Health Centre,Ffe71rF6iVh,ZW070606,ZW07,,Government,Rural,Primary,Open
MASHONALAND CENTRAL,Mazowe,Vonabor - 101744 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mazowe,VONABO,Vonabor - 101744 - Clinic,RLoROPMeESW,ZW020411,ZW02,,Council,Farming,Primary,Open
MASHONALAND EAST,Murehwa,Virginia Clinic - 101742 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Murewa,Virginia Clinic,Virginia Clinic - 101742 - Clinic,dsOsw05zvg2,ZW030746,ZW03,,Rural Council,Rural,clinic,Active
MATEBELELAND SOUTH,Bulilima,Village 13 - 101741 - Rural Health Centre,PEPFAR,OPHID,ACTIVE,Health facility,Bulilima,Village 13 Rural Health Centre,Village 13 - 101741 - Rural Health Centre,dSsH9yE0duM,ZW060201,ZW06,,Government,Rural,,
MASHONALAND WEST,Sanyati,Vere - 101735 - Rural Health Centre,PEPFAR,ZACH,ACTIVE,Health facility,Sanyati,Vere - 101735 - Rural Health Centre,Vere - 101735 - Rural Health Centre,HqZLZbZmU4r,ZW040609,ZW04,,,Rural,,
MANICALAND,Makoni,Vengere - 101733 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Makoni,Vengere Clinic,Vengere - 101733 - Clinic,bkpJdhMUWKf,ZW010442,ZW01,,Town/City Council,Urban,Primary ,Open
MANICALAND,Chipinge,Vheneka - 101737 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Chipinge,Veneka Clinic,Vheneka - 101737 - Clinic,nNmjZD0Xkbi,ZW010336,ZW01,,Rural Council,Rural,Primary,Open
MATEBELELAND NORTH,Umguza,Muntu - 101108 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Umguza,Umuntu Clinic,Muntu - 101108 - Clinic,jXKl5XSgHA7,ZW050798,ZW05,,Town/City Council,Rural,Primary,Open
MATEBELELAND NORTH,Umguza,Umguza Council Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Umguza,Umguza Council Clinic ,Umguza Council Clinic,dBTOp92WekL,ZW050750,ZW05,,Town/City Council,Urban,Primary,Open
MASHONALAND WEST,Makonde,Umboe - 101724 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Makonde,Umboe RDC Clinic,Umboe - 101724 - Clinic,kaqOR3BnVSQ,ZW040448,ZW04,,Rural Council,Rural,Primary,Open
MASHONALAND WEST,Mhondoro,Twin Tops - 101722 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mhondoro,Twintops RDC Clinic,Twin Tops - 101722 - Clinic,keqEqznmGNE,ZW040525,ZW04,,Rural Council,Rural,Primary,Open
MATEBELELAND NORTH,Bubi,Turk Mine - 101720 - Mine Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Bubi,Turk Mine Clinic,Turk Mine - 101720 - Mine Clinic,d7pGOe2ANHF,ZW050257,ZW05,,Mine,Rural,Primary,Open
MASHONALAND WEST,Mhondoro,Turf - 101719 - Council Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mhondoro,Turf Estate RDC Clinic,Turf - 101719 - Council Clinic,mCZQYXcx1VM,ZW040524,ZW04,,Rural Council,Rural,Primary,Open
MASHONALAND CENTRAL,Mazowe,Tsungubvi - 101717 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mazowe,TSUNGUBVI,Tsungubvi - 101717 - Clinic,ZCCRwjCDbaM,ZW020447,ZW02,,Council,Urban,Primary,Open
MANICALAND,Mutasa,Tsonzo - 101714 - Rural Hospital,PEPFAR,ZHI,ACTIVE,Health facility,Mutasa,Tsonzo Rural Hospital,Tsonzo - 101714 - Rural Hospital,xBQLT1WFHR7,ZW01060A,ZW01,,Government,Rural,,Open
MASHONALAND EAST,UMP,Tsokodeka clinic,PEPFAR,GoZ,ACTIVE,Health facility,UMP,Tsokodeka clinic,Tsokodeka clinic,IDPxxc6H5rJ,ZW030339,ZW03,,Rural Council,Rural,clinic,Active
MASVINGO,Chiredzi,Tsovani - 101715 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Chiredzi,Tshovani Clinic,Tsovani - 101715 - Clinic,g7P5iJOCBdW,ZW080233,ZW08,,Town/City Council,Urban,Primary,Open
MATEBELELAND NORTH,Tsholotsho,Tsholotsho Urban - 101667 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Tsholotsho,Tsholotsho Urban Clinic,Tsholotsho Urban - 101667 - Clinic,VCTLI8U4D5z,ZW050631,ZW05,,Town/City Council,Urban,Primary,Open
MATEBELELAND NORTH,Tsholotsho,Tsholotsho - 101713 - District Hospital,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Tsholotsho,Tsholotsho District Hospital,Tsholotsho - 101713 - District Hospital,enrbUoAll43,ZW05060A,ZW05,,Government,Rural,Secondary,Open
MATEBELELAND SOUTH,Mangwe,Tshitshi - 101712 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Mangwe,Tshitshi Clinic,Tshitshi - 101712 - Clinic,FjN22JqEC4D,ZW060732,ZW06,,Rural Council,Rural,,
MATEBELELAND SOUTH,Matobo,Tshelanyemba - 101711 - Mission Hospital,PEPFAR,OPHID,ACTIVE,Health facility,Matobo,Tshelanyemba Mission Hospital,Tshelanyemba - 101711 - Mission Hospital,wa7S2vIGgVg,ZW06050D,ZW06,,Mission,Rural,,
Bulawayo,Bulawayo,Tshabalala - 101710 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Bulawayo,Tshabalala Clinic,Tshabalala - 101710 - Clinic,AU3HqiX44Iu,ZW090A02,ZW09,,Town/City Council,Urban,Primary,Open
MANICALAND,Makoni,Tsanzaguru - 101709 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Makoni,Tsanzaguru Clinic,Tsanzaguru - 101709 - Clinic,avJBKspv9hU,ZW010436,ZW01,,Rural Council,Urban,Primary ,Open
MASHONALAND CENTRAL,Mt Darwin,Tsakare - 101708 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mt Darwin,TSAKARE,Tsakare - 101708 - Clinic,jWZDHuWQL6K,ZW020506,ZW02,,GOVERNMENT,Rural,Primary,Open
MASHONALAND WEST,Zvimba,Trelawney - 101704 - Council Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Zvimba,Trelawney RDC Clinic,Trelawney - 101704 - Council Clinic,fyCd86t36uQ,ZW040748,ZW04,,Rural Council,Peri-Urban,Primary,RURAL
MASHONALAND WEST,Zvimba,TRBC - 101703 - Council Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Zvimba,TRB RDC Clinic,TRBC - 101703 - Council Clinic,xwXASQ58xET,ZW040747,ZW04,,Rural Council,Peri-Urban,Primary,RURAL
MIDLANDS,Kwekwe,Torwood - 101700 - Hospital,PEPFAR,ZHI,ACTIVE,Health facility,Kwekwe,Torwood Clinic,Torwood - 101700 - Hospital,N9VWu2Kppre,ZW070554,ZW07,,Town/City Council,Urban,Primary,
MANICALAND,Makoni,Tariro - 101680 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Makoni,Toriro Clinic,Tariro - 101680 - Clinic,SISBOCPkjkv,ZW010435,ZW01,,Rural Council,Rural,Primary ,Open
MATEBELELAND SOUTH,Beitbridge,Tongwe - 101696 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Beitbridge,Tongwe Clinic,Tongwe - 101696 - Clinic,FHW8J9cVHxt,ZW060130,ZW06,,Rural Council,Rural,,
MIDLANDS,Gokwe South,Tongwe - 101697 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Gokwe South,Tongwe Clinic,Tongwe - 101697 - Clinic,w1k2xD78mUR,ZW070339,ZW07,,Rural Council,Rural,,
MATEBELELAND SOUTH,Bulilima,Tokwana - 101907 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Bulilima,Tokwana Clinic,Tokwana - 101907 - Clinic,O4kX8ajY1Lp,ZW060236,ZW06,,Rural Council,Rural,,
Bulawayo,Bulawayo,Thorngrove,PEPFAR,OPHID,ACTIVE,Health facility,Bulawayo,Thorngrove Infectious Diseases Hospital,Thorngrove,I1dsyC5hnKJ,ZW090A0E,ZW09,,Town/City Council,Urban,Primary,Open
MATEBELELAND NORTH,Umguza,T.G. Silundika - 101668 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Umguza,TG Silundika Clinic,T.G. Silundika - 101668 - Rural Health Centre,plc6BXsQkp0,ZW050781,ZW05,,Private,Rural,Primary,Open
MASHONALAND WEST,Hurungwe,Tengwe - 101886 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Hurungwe,Tengwe Clinic,Tengwe - 101886 - Clinic,z0mAJulIVSB,ZW040249,ZW04,,Rural Council,Rural,Primary,Open
MANICALAND,Makoni,Tandi - 101678 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Makoni,Tandi Clinic,Tandi - 101678 - Clinic,QHVCAkeXCog,ZW010434,ZW01,,Rural Council,Rural,Primary ,Open
MASVINGO,Zaka,Svuvure - 101665 - Rural Health Hospital,PEPFAR,JF kapnek,ACTIVE,Health facility,Zaka,Svuure Rural Health Centre,Svuvure - 101665 - Rural Health Hospital,USZm9peQXTh,ZW080704,ZW08,,Government,Rural,Primary,Open
MIDLANDS,Mberengwa,Svita - 101664 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mberengwa,Svita Clinic,Svita - 101664 - Clinic,V1UPlYfZT1D,ZW070637,ZW07,,Rural Council,Rural,Primary,Open
MIDLANDS,Gokwe South,Svisvi - 101663 - Rural Health Centre,PEPFAR,ZHI,ACTIVE,Health facility,Gokwe South,Svisvi Clinic,Svisvi - 101663 - Rural Health Centre,V3ZLerPguLB,ZW070311,ZW07,,Rural Council,Rural,Primary,
MASHONALAND WEST,Zvimba,Sutton - 101661 - Mine Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Zvimba,Sutton RDC Clinic,Sutton - 101661 - Mine Clinic,FsRYRzS6zYQ,ZW040777,ZW04,,Rural Council,Peri-Urban,Primary,MINING
MASHONALAND CENTRAL,Mazowe,Suoguru Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mazowe,SUOGURU,Suoguru Clinic,un5X8B0qP2w,ZW020488,ZW02,,Council,Urban,Primary,Open
MANICALAND,Makoni,St. Theresa - 101640 - Mission Hospital,PEPFAR,ZHI,ACTIVE,Health facility,Makoni,St Therese's Mission Hospital,St. Theresa - 101640 - Mission Hospital,X8eNcHrqP3q,ZW01040F,ZW01,,Mission,Rural,Primary ,Open
MASHONALAND WEST,Makonde,St. Rupert's - 101650 - Mission Hospital,PEPFAR,ZACH,ACTIVE,Health facility,Makonde,St Rupert's Mission Hospital,St. Rupert's - 101650 - Mission Hospital,p98IRYc0Y2A,ZW04040B,ZW04,,Mission,Rural,Secondary,Open
MANICALAND,Chipinge,St. Peters - 101648 - Mission Hospital,PEPFAR,ZHI,ACTIVE,Health facility,Chipinge,St Peters Hospital,St. Peters - 101648 - Mission Hospital,uj8ctjqnN8U,ZW01030D,ZW01,,Mission,Rural,Primary,Open
MASHONALAND EAST,Murehwa,St. Paul's Musami - 101638 - Mission Hospital,PEPFAR,ZACH,ACTIVE,Health facility,Murewa,St Paul's Musami Mission Hospital,St. Paul's Musami - 101638 - Mission Hospital,IV1N9v5bKiL,ZW03070B,ZW03,,Mission,Rural,Mission Hospital,Active
MATEBELELAND NORTH,Lupane,St. Pauls - 101647 - Mission Hospital,PEPFAR,ZACH,ACTIVE,Health facility,Lupane,St Paul's Mission Hospital,St. Pauls - 101647 - Mission Hospital,q5VjJBFUXw8,ZW05040A,ZW05,,Town/City Council,Rural,Secondary,Open
MIDLANDS,Gweru,St. Patricks - 101636 - Mission Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Gweru,ST Patricks,St. Patricks - 101636 - Mission Clinic,yy7YQ1Iak4s,ZW070492,ZW07,,,Rural,,
MANICALAND,Makoni,St. Michael's - 101635 - Mission Hospital,PEPFAR,ZHI,ACTIVE,Health facility,Makoni,St Michael's Tanda Mission Hospital,St. Michael's - 101635 - Mission Hospital,ldxZ72IIbir,ZW01040E,ZW01,,Mission,Rural,Primary ,Open
MASHONALAND WEST,Mhondoro,St. Michaels - 101646 - Mission Hospital,PEPFAR,ZACH,ACTIVE,Health facility,Mhondoro,St Michael's Mission Hospital,St. Michaels - 101646 - Mission Hospital,OXgwxM8Md7I,ZW04050B,ZW04,,Mission,Rural,Secondary,Open
HARARE,Harare,Belvedere - 100055 - Poly clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Harare,Belvedere Poly clinic,Belvedere - 100055 - Poly clinic,M7zzw7p5tFf,ZW000A05,ZW00,,,Urban,,
MATEBELELAND NORTH,Lupane,St. Lukes - 101645 - Mission Hospital,PEPFAR,ZACH,ACTIVE,Health facility,Lupane,St Luke's Mission Hospital,St. Lukes - 101645 - Mission Hospital,KXpRiO1yWzB,ZW05040B,ZW05,,Mission,Rural,Secondary,Open
MATEBELELAND SOUTH,Matobo,St. Joseph's - 101644 - Rural Hospital,PEPFAR,OPHID,ACTIVE,Health facility,Matobo,St Joseph's Mission Hospital,St. Joseph's - 101644 - Rural Hospital,XVUGfE4rVxG,ZW06050E,ZW06,,Mission,Rural,,
MANICALAND,Mutare,St. Joseph's - 101632 - T.B Hospital,PEPFAR,ZHI,ACTIVE,Health facility,Mutare,St Josephs Mission Hospital,St. Joseph's - 101632 - T.B Hospital,tYA7jF9AfGD,ZW01050G,ZW01,,Mission,Urban,Secondary,Open
MASHONALAND EAST,Goromonzi,St. Joseph's - 101631 - Rural Health centre,PEPFAR,ZACH,ACTIVE,Health facility,Goromonzi,St Joseph's Clinic,St. Joseph's - 101631 - Rural Health centre,Kmet2URjvwM,ZW030252,ZW03,,Mission,Peri-Urban,clinic,Active
MANICALAND,Mutasa,St. Augustine's - 101627 - Mission Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Mutasa,St Augustine's Clinic,St. Augustine's - 101627 - Mission Clinic,B6T4mymKXpD,ZW010693,ZW01,,Mission,Rural,,Open
MATEBELELAND SOUTH,Mangwe,St. Annes Brunapeg - 101642 - Mission Hospital,PEPFAR,OPHID,ACTIVE,Health facility,Mangwe,St Annes Mission Hospital (Brunapeg),St. Annes Brunapeg - 101642 - Mission Hospital,HWtwaa3MidK,ZW06070D,ZW06,,Mission,Rural,,
MANICALAND,Mutare,St. Andrew's - 101624 - Mission Hospital,PEPFAR,ZHI,ACTIVE,Health facility,Mutare,St Andrew's Mission Hospital,St. Andrew's - 101624 - Mission Hospital,RXChmJ29yIG,ZW01050F,ZW01,,Mission,Rural,Secondary,Open
MASHONALAND EAST,UMP,Sowa - 101620 - Rural Health centre,PEPFAR,GoZ,ACTIVE,Health facility,UMP,Sowa Rural Health Centre,Sowa - 101620 - Rural Health centre,cuSVNGhbKpS,ZW030303,ZW03,,Government,Rural,clinic,Active
MIDLANDS,Gweru,Somabula - 101613 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Gweru,Somabhula Clinic,Somabula - 101613 - Clinic,cY93Nr1gwjo,ZW070445,ZW07,,Rural Council,Rural,Primary,
MATEBELELAND SOUTH,Bulilima,Solusi - 101612 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Bulilima,Solusi Mission Clinic,Solusi - 101612 - Clinic,L0BhteRCV93,ZW060291,ZW06,,Mission,Rural,,
MATEBELELAND NORTH,Tsholotsho,Sodaka - 101611 - Rural Health centre,PEPFAR,ZACH,ACTIVE,Health facility,Tsholotsho,Sodaka Rural Health Centre,Sodaka - 101611 - Rural Health centre,AwLcEg2hZca,ZW050606,ZW05,,Government,Rural,Primary,Open
MASVINGO,Zaka,Siyawareva - 101609 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Zaka,Siyawareva Clinic,Siyawareva - 101609 - Clinic,IZd8YJZuStE,ZW080737,ZW08,,Rural Council,Rural,Primary,Open
MATEBELELAND NORTH,Tsholotsho,Sipepa - 101605 - Rural Hospital,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Tsholotsho,Siphepha Rural Hospital,Sipepa - 101605 - Rural Hospital,d6Y01SZZoLz,ZW05060B,ZW05,,Government,Rural,Primary,Open
MATEBELELAND SOUTH,Insiza,Singwango - 101603 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Insiza,Singwango Clinic,Singwango - 101603 - Clinic,YAoTF1MIrjU,ZW060425,ZW06,,Rural Council,Rural,,
MATEBELELAND SOUTH,Insiza,Singwambizi - 101602 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Insiza,Singwambizi Clinic,Singwambizi - 101602 - Clinic,ec12kvcjS7E,ZW060427,ZW06,,Rural Council,Rural,,
MIDLANDS,Kwekwe,Simana - 101595 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Kwekwe,Simana Clinic,Simana - 101595 - Clinic,ozA3NlEUYDi,ZW070534,ZW07,,Rural Council,Rural,Primary,
MATEBELELAND SOUTH,Matobo,Silozwi Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Matobo,Silozwi,Silozwi Clinic,vDYNQpQFm21,ZW060507,ZW06,,Town/City Council,Rural,,
MIDLANDS,Kwekwe,Silobela-Jackson - 101871 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Kwekwe,Silobela Jackson Clinic,Silobela-Jackson - 101871 - Clinic,rUINnsV4knE,ZW070533,ZW07,,Rural Council,Rural,Primary,
MIDLANDS,Kwekwe,Silobela - 101590 - District Hospital,PEPFAR,ZHI,ACTIVE,Health facility,Kwekwe,Silobela District Hospital,Silobela - 101590 - District Hospital,V9SM8e6sFIW,ZW07050B,ZW07,,Government,Rural,Secondary,
MATEBELELAND SOUTH,Gwanda,Silkwe - 101589 - Rural Health centre,PEPFAR,OPHID,ACTIVE,Health facility,Gwanda,Silikwe Clinic,Silkwe - 101589 - Rural Health centre,lq1a53Zl3Gn,ZW060368,ZW06,,Rural Council,Rural,,
MATEBELELAND NORTH,Nkayi,Sikobokobo - 101587 - Clinic,PEPFAR,ZACH,ACTIVE,Health facility,Nkayi,Sikobokobo,Sikobokobo - 101587 - Clinic,mnQNqs9EkZ1,ZW050528,ZW05,,,Rural,,
MATEBELELAND SOUTH,Bulilima,Sikhatini - 101585 - Clinic,PEPFAR,OPHID,ACTIVE,Health facility,Bulilima,Sikhathini Clinic,Sikhatini - 101585 - Clinic,mb8xNkQoiuv,ZW060231,ZW06,,Rural Council,Rural,,
MATEBELELAND NORTH,Tsholotsho,Sikente - 101584 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Tsholotsho,Sikente Clinic,Sikente - 101584 - Clinic,asE3X2E5zns,ZW050698,ZW05,,Town/City Council,Rural,Primary,Open
MATEBELELAND NORTH,Bubi,Siganda - 101578 - Rural Health Centre,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Bubi,Siganda Clinic,Siganda - 101578 - Rural Health Centre,u4ZGqUHSJmi,ZW050226,ZW05,,Rural Council,Rural,Primary,Open
MIDLANDS,Kwekwe,Sidakeni - 101579 - Clinic,PEPFAR,ZHI,ACTIVE,Health facility,Kwekwe,Sidakeni Clinic,Sidakeni - 101579 - Clinic,fBCkowl14OR,ZW070532,ZW07,,Rural Council,Rural,Primary,
MASHONALAND CENTRAL,Mazowe,Shutu - 101571 - Clinic,PEPFAR,Zim-TTECH,ACTIVE,Health facility,Mazowe,SHUTU,Shutu - 101571 - Clinic,w5SRCyjcVN1,ZW020403,ZW02,,Gvt,Rural,Primary,Open
MASVINGO,Masvingo,Shumba - 101569 - Clinic,PEPFAR,JF kapnek,ACTIVE,Health facility,Masvingo,Shumba Clinic,Shumba - 101569 - Clinic,P6v8ImHzR3c,ZW080533,ZW08,,Rural Council,Rural,Clinic,Active
